Date,Price
2021-01-01,99.06697428256263
2021-01-04,97.6684936198963
2021-01-05,97.44109778611168
2021-01-06,98.4651072050039
2021-01-07,98.81976687687603
2021-01-08,100.08967072016202
2021-01-11,99.30550451222794
2021-01-12,100.58905798668188
2021-01-13,100.72860530567024
2021-01-14,100.4817521999356
2021-01-15,98.41832515871741
2021-01-18,99.20299885428591
2021-01-19,99.1756461316303
2021-01-20,98.78257097197853
2021-01-21,99.52010679552843
2021-01-22,99.6798873463899
2021-01-25,99.01751591553382
2021-01-26,97.87683501311047
2021-01-27,98.13281444145338
2021-01-28,96.1349830074273
2021-01-29,97.53678184283856
2021-02-01,97.1316193839586
2021-02-02,97.0593900887604
2021-02-03,96.99024958568057
2021-02-04,98.06504508845721
2021-02-05,97.21555279559982
2021-02-08,96.40944143035834
2021-02-09,96.98917451706455
2021-02-10,98.47896483608277
2021-02-11,98.59738880416418
2021-02-12,98.06507154265928
2021-02-15,97.78705886376673
2021-02-16,98.50935049581402
2021-02-17,98.88584747614246
2021-02-18,99.83642873938423
2021-02-19,99.71808664552783
2021-02-22,98.05437435681095
2021-02-23,97.96840783867586
2021-02-24,97.63257245978198
2021-02-25,98.4230595895435
2021-02-26,99.44767761666706
2021-03-01,98.4725227040688
2021-03-02,96.765165642449
2021-03-03,97.83970839227605
2021-03-04,97.55451914121183
2021-03-05,98.46210085268386
2021-03-08,97.8148408368796
2021-03-09,97.74764115100658
2021-03-10,98.51438459499502
2021-03-11,99.11912567411805
2021-03-12,99.26855171909725
2021-03-15,99.27257576097506
2021-03-16,99.75770522565057
2021-03-17,100.67584768197959
2021-03-18,98.08239214918694
2021-03-19,99.2874277463521
2021-03-22,99.6204017253477
2021-03-23,99.33977629667572
2021-03-24,100.25496777492026
2021-03-25,100.00119532658222
2021-03-26,98.99288300539752
2021-03-29,97.77201496894918
2021-03-30,97.43538638474018
2021-03-31,96.74010975831462
2021-04-01,98.06491450469156
2021-04-02,99.33556789079479
2021-04-05,99.20720994923636
2021-04-06,97.78019105910539
2021-04-07,99.95242201580669
2021-04-08,100.84095220009573
2021-04-09,99.37496075396504
2021-04-12,99.45343389063247
2021-04-13,99.62026654230407
2021-04-14,100.15043785417082
2021-04-15,99.49138903389319
2021-04-16,99.95827611326075
2021-04-19,101.06782542839727
2021-04-20,101.49541124108165
2021-04-21,102.51306272778899
2021-04-22,102.3483958702026
2021-04-23,103.68025986662366
2021-04-26,106.57476725042487
